study_row_id,network_node_id,record_id,study_label,experiment_letter,parameter_evidence_scope,contract_key,segment,contract_label,evidence_status,paper_value,composite_record_value,experiment_scoped_source_override,source_review_keys,component_status_json,component_value_json,component_evidence_note_json,coarse_parent_status_json,coarse_parent_value_json,missing_required_components,source_layer,review_date,source_file,page_or_section,evidence_note,derivation_note,toolkit_encoding_status,toolkit_value_summary,profile_source_files,current_toolkit_support,current_toolkit_paths,runtime_or_untyped_inputs,review_action
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,auditory_stimulus,1,Auditory stimulus,not_assessed,,,no,,{},{},{},"{""auditory_conditions"":""source_unavailable"",""gain_envelope"":""source_unavailable"",""renderer_or_apparatus"":""source_unavailable"",""source_provenance"":""source_unavailable"",""stimulus_type"":""source_unavailable""}","{""auditory_conditions"":"""",""gain_envelope"":"""",""renderer_or_apparatus"":"""",""source_provenance"":"""",""stimulus_type"":""""}",source_mode | stimulus_identity_or_asset | source_recipe_or_asset_provenance,not_assessed,,,,,,no_profile,,,typed_partial_plus_untyped_reference_metadata,design.noises[].noise_type | design.noises[].gain | design.noises[].source_profile | design.noises[].source_profile_parameters | design.noises[].prebaked_path | design.noises[].motion_mode | design.custom_looming_files[].path | design.custom_looming_files[].render_mode | design.custom_looming_files[].tone_type | design.custom_looming_files[].gain | design.custom_looming_files[].motion_mode | design.prestimulus_files[].path | design.prestimulus_files[].render_mode | design.prestimulus_files[].tone_type | design.prestimulus_files[].gain | design.prestimulus_files[].motion_mode | design.sofa_file,design.study_profile_reference_parameters::<auditory level/calibration/apparatus evidence>,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,trajectory_kinematics,1,Trajectory and kinematics,not_assessed,,,no,,{},{},{},"{""gain_envelope"":""source_unavailable"",""renderer_or_apparatus"":""source_unavailable"",""stimulus_duration"":""source_unavailable"",""stimulus_speed"":""source_unavailable"",""trajectory_count"":""source_unavailable"",""trajectory_path"":""source_unavailable""}","{""gain_envelope"":"""",""renderer_or_apparatus"":"""",""stimulus_duration"":"""",""stimulus_speed"":"""",""trajectory_count"":"""",""trajectory_path"":""""}",motion_mode | coordinate_frame_body_anchor | geometry | timing_constraint,not_assessed,,,,,,no_profile,,,typed_partial_plus_untyped_reference_metadata,design.trajectory.path_direction | design.trajectory.coordinate_mode | design.trajectory.start_radius_m | design.trajectory.end_radius_m | design.trajectory.start_x_m | design.trajectory.start_y_m | design.trajectory.start_z_m | design.trajectory.end_x_m | design.trajectory.end_y_m | design.trajectory.end_z_m | design.trajectory.azimuth_start_deg | design.trajectory.azimuth_end_deg | design.trajectory.elevation_deg | design.trajectory.path_length_m | design.trajectory.propagation_speed_mps | design.trajectory.padding_pre_s | design.trajectory.padding_post_s | design.trajectory.use_inverse_square | design.noises[].azimuth_deg | design.noises[].elevation_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].target_duration_s | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].target_duration_s | design.prestimulus_files[].trajectory_snapshot,design.study_profile_reference_parameters::<participant/body/apparatus coordinate frame>,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,trial_sequence,2,Trial sequence,not_assessed,,,no,,{},{},{},"{""condition_intermixing"":""source_unavailable"",""task_sequence_rules"":""source_unavailable"",""trial_rows_families"":""source_unavailable""}","{""condition_intermixing"":"""",""task_sequence_rules"":"""",""trial_rows_families"":""""}",trial_families | ordered_elements_and_source_selection,not_assessed,,,,,,no_profile,,,typed_partial_plus_untyped_row_metadata,design.protocol.trial_strips[].soa_values_ms | design.protocol.trial_strips[].metadata | design.protocol.trial_strips[].elements[].kind | design.protocol.trial_strips[].elements[].source_labels,design.protocol.trial_strips[].metadata::<ordered event semantics>,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,task_response,runtime,Task and response,not_assessed,,,no,,{},{},{},"{""response_window"":""source_unavailable"",""task_sequence_rules"":""source_unavailable""}","{""response_window"":"""",""task_sequence_rules"":""""}",target_and_nontarget_rule | response_mode_or_device | response_mapping_or_expected_action | response_window_and_anchor,not_assessed,,,,,,no_profile,,,untyped_runtime_row_metadata_only,design.protocol.trial_strips[].metadata,design.protocol.trial_strips[].metadata::<response/capture/window keys> | session_runner response policy; fixed global defaults remain an implementation gap,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,jitter_iti_policy,2,Jitter and ITI policy,not_assessed,,,no,,{},{},{},"{""iti_jitter_policy"":""source_unavailable""}","{""iti_jitter_policy"":""""}",policy_type | timing_scope_and_anchor | values_or_range,not_assessed,,,,,,no_profile,,,typed_partial_plus_untyped_runtime_policy,design.protocol.trial_strips[].elements[].jitter_values_ms | design.protocol.trial_strips[].elements[].randomized | design.protocol.trial_strips[].metadata,design.protocol.trial_strips[].metadata::<iti/foreperiod/hazard keys> | session_runner ITI policy,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,soa_schedule,3,SOA schedule,not_assessed,,,no,,{},{},{},"{""soa_table"":""source_unavailable""}","{""soa_table"":""""}",reference_event_and_sign | ordered_soa_values_or_derivable_distance_anchors,not_assessed,,,,,,no_profile,,,typed_first_class,design.protocol.soa_values_ms | design.protocol.spatial_values_cm | design.protocol.pair_spatial_values_with_soas | design.protocol.trial_strips[].soa_values_ms | design.protocol.trial_strips[].spatial_values_cm,,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,tactile_target,3,Tactile target,not_assessed,,,no,,{},{},{},"{""tactile_stimulus"":""source_unavailable""}","{""tactile_stimulus"":""""}",modality | body_site_and_side | waveform_and_duration,not_assessed,,,,,,no_profile,,,typed_site_plus_untyped_runtime_waveform,design.protocol.tactile_sites | design.protocol.trial_strips[].metadata,design.protocol.trial_strips[].metadata::<tactile waveform/calibration/trigger keys> | session_runner tactile synthesis/runtime inputs,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,baseline_trial_contract,3,Baseline/control trials,not_assessed,,,no,,{},{},{},"{""baseline_count"":""source_unavailable"",""baseline_strategy"":""source_unavailable"",""baseline_timing"":""source_unavailable""}","{""baseline_count"":"""",""baseline_strategy"":"""",""baseline_timing"":""""}",family_or_explicit_none | timing_and_anchor | allocation_rule | resolved_trial_count,not_assessed,,,,,,no_profile,,,typed_first_class,design.protocol.include_baseline_trials | design.protocol.baseline_strategy | design.protocol.baseline_trials_exact | design.protocol.baseline_trial_percentage | design.protocol.baseline_soa_values_ms | design.protocol.baseline_custom_trial_mode | design.protocol.baseline_crosses_sequence_variants | design.protocol.trial_strips[].baseline_percentage,,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,catch_trial_contract,3,Catch/no-target trials,not_assessed,,,no,,{},{},{},"{""catch_count"":""source_unavailable"",""catch_trial_type"":""source_unavailable""}","{""catch_count"":"""",""catch_trial_type"":""""}",family_or_explicit_none | target_role_and_expected_action | allocation_rule | resolved_trial_count,not_assessed,,,,,,no_profile,,,typed_partial_plus_untyped_target_role,design.protocol.include_catch_trials | design.protocol.catch_trial_percentage | design.protocol.catch_trials_exact | design.protocol.catch_crosses_sequence_variants | design.protocol.include_auditory_only_trials | design.protocol.auditory_only_trial_percentage | design.protocol.auditory_only_trials_exact | design.protocol.auditory_only_crosses_sequence_variants | design.protocol.trial_strips[].catch_percentage | design.protocol.trial_strips[].elements[].kind,design.protocol.trial_strips[].metadata::<catch target role and expected action>,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,repetition_allocation,4,Repetition allocation,not_assessed,,,no,,{},{},{},"{""repetitions_per_tactile_soa_condition"":""source_unavailable"",""total_trial_count"":""source_unavailable""}","{""repetitions_per_tactile_soa_condition"":"""",""total_trial_count"":""""}",factor_dimensions | repetitions_or_exact_counts | exceptions_or_overrides,not_assessed,,,,,,no_profile,,,typed_first_class,design.protocol.repetitions_per_condition | design.protocol.trial_pool_repetition_defaults | design.protocol.trial_strips[].audio_tactile_percentage | design.protocol.trial_strips[].catch_percentage | design.protocol.trial_strips[].baseline_percentage,compiled trial-pool exact counts,create_publication_audit
doi:10.1007/s00221-004-2212-7,doi:10.1007/s00221-004-2212-7,,Spatial auditory attention is modulated by tactile priming.,,none,block_order_contract,5,Block and order policy,not_assessed,,,no,,{},{},{},"{""block_count"":""source_unavailable"",""blocked_or_random_order"":""source_unavailable"",""condition_intermixing"":""source_unavailable"",""total_trial_count"":""source_unavailable""}","{""block_count"":"""",""blocked_or_random_order"":"""",""condition_intermixing"":"""",""total_trial_count"":""""}",block_count | block_composition,not_assessed,,,,,,no_profile,,,typed_first_class,design.protocol.blocks | design.protocol.block_specs[].stimulus_types | design.protocol.repeat_trial_pool_per_block | design.protocol.distribute_trial_pool_across_blocks | design.protocol.trial_randomization_strategy | design.protocol.block_order_randomization | design.protocol.max_consecutive_same_trial_type,,create_publication_audit
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,auditory_stimulus,1,Auditory stimulus,source_unavailable,,,no,,{},{},{},"{""auditory_conditions"":""source_unavailable"",""gain_envelope"":""source_unavailable"",""renderer_or_apparatus"":""source_unavailable"",""source_provenance"":""source_unavailable"",""stimulus_type"":""source_unavailable""}","{""auditory_conditions"":"""",""gain_envelope"":"""",""renderer_or_apparatus"":"""",""source_provenance"":"""",""stimulus_type"":""""}",source_mode | stimulus_identity_or_asset | source_recipe_or_asset_provenance,metadata_audit,,,,,,no_profile,,,typed_partial_plus_untyped_reference_metadata,design.noises[].noise_type | design.noises[].gain | design.noises[].source_profile | design.noises[].source_profile_parameters | design.noises[].prebaked_path | design.noises[].motion_mode | design.custom_looming_files[].path | design.custom_looming_files[].render_mode | design.custom_looming_files[].tone_type | design.custom_looming_files[].gain | design.custom_looming_files[].motion_mode | design.prestimulus_files[].path | design.prestimulus_files[].render_mode | design.prestimulus_files[].tone_type | design.prestimulus_files[].gain | design.prestimulus_files[].motion_mode | design.sofa_file,design.study_profile_reference_parameters::<auditory level/calibration/apparatus evidence>,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,trajectory_kinematics,1,Trajectory and kinematics,source_unavailable,,,no,,{},{},{},"{""gain_envelope"":""source_unavailable"",""renderer_or_apparatus"":""source_unavailable"",""stimulus_duration"":""source_unavailable"",""stimulus_speed"":""source_unavailable"",""trajectory_count"":""source_unavailable"",""trajectory_path"":""source_unavailable""}","{""gain_envelope"":"""",""renderer_or_apparatus"":"""",""stimulus_duration"":"""",""stimulus_speed"":"""",""trajectory_count"":"""",""trajectory_path"":""""}",motion_mode | coordinate_frame_body_anchor | geometry | timing_constraint,metadata_audit,,,,,,no_profile,,,typed_partial_plus_untyped_reference_metadata,design.trajectory.path_direction | design.trajectory.coordinate_mode | design.trajectory.start_radius_m | design.trajectory.end_radius_m | design.trajectory.start_x_m | design.trajectory.start_y_m | design.trajectory.start_z_m | design.trajectory.end_x_m | design.trajectory.end_y_m | design.trajectory.end_z_m | design.trajectory.azimuth_start_deg | design.trajectory.azimuth_end_deg | design.trajectory.elevation_deg | design.trajectory.path_length_m | design.trajectory.propagation_speed_mps | design.trajectory.padding_pre_s | design.trajectory.padding_post_s | design.trajectory.use_inverse_square | design.noises[].azimuth_deg | design.noises[].elevation_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].target_duration_s | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].target_duration_s | design.prestimulus_files[].trajectory_snapshot,design.study_profile_reference_parameters::<participant/body/apparatus coordinate frame>,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,trial_sequence,2,Trial sequence,source_unavailable,,,no,,{},{},{},"{""condition_intermixing"":""source_unavailable"",""task_sequence_rules"":""source_unavailable"",""trial_rows_families"":""source_unavailable""}","{""condition_intermixing"":"""",""task_sequence_rules"":"""",""trial_rows_families"":""""}",trial_families | ordered_elements_and_source_selection,metadata_audit,,,,,,no_profile,,,typed_partial_plus_untyped_row_metadata,design.protocol.trial_strips[].soa_values_ms | design.protocol.trial_strips[].metadata | design.protocol.trial_strips[].elements[].kind | design.protocol.trial_strips[].elements[].source_labels,design.protocol.trial_strips[].metadata::<ordered event semantics>,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,task_response,runtime,Task and response,source_unavailable,,,no,,{},{},{},"{""response_window"":""source_unavailable"",""task_sequence_rules"":""source_unavailable""}","{""response_window"":"""",""task_sequence_rules"":""""}",target_and_nontarget_rule | response_mode_or_device | response_mapping_or_expected_action | response_window_and_anchor,metadata_audit,,,,,,no_profile,,,untyped_runtime_row_metadata_only,design.protocol.trial_strips[].metadata,design.protocol.trial_strips[].metadata::<response/capture/window keys> | session_runner response policy; fixed global defaults remain an implementation gap,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,jitter_iti_policy,2,Jitter and ITI policy,source_unavailable,,,no,,{},{},{},"{""iti_jitter_policy"":""source_unavailable""}","{""iti_jitter_policy"":""""}",policy_type | timing_scope_and_anchor | values_or_range,metadata_audit,,,,,,no_profile,,,typed_partial_plus_untyped_runtime_policy,design.protocol.trial_strips[].elements[].jitter_values_ms | design.protocol.trial_strips[].elements[].randomized | design.protocol.trial_strips[].metadata,design.protocol.trial_strips[].metadata::<iti/foreperiod/hazard keys> | session_runner ITI policy,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,soa_schedule,3,SOA schedule,source_unavailable,,,no,,{},{},{},"{""soa_table"":""source_unavailable""}","{""soa_table"":""""}",reference_event_and_sign | ordered_soa_values_or_derivable_distance_anchors,metadata_audit,,,,,,no_profile,,,typed_first_class,design.protocol.soa_values_ms | design.protocol.spatial_values_cm | design.protocol.pair_spatial_values_with_soas | design.protocol.trial_strips[].soa_values_ms | design.protocol.trial_strips[].spatial_values_cm,,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,tactile_target,3,Tactile target,source_unavailable,,,no,,{},{},{},"{""tactile_stimulus"":""source_unavailable""}","{""tactile_stimulus"":""""}",modality | body_site_and_side | waveform_and_duration,metadata_audit,,,,,,no_profile,,,typed_site_plus_untyped_runtime_waveform,design.protocol.tactile_sites | design.protocol.trial_strips[].metadata,design.protocol.trial_strips[].metadata::<tactile waveform/calibration/trigger keys> | session_runner tactile synthesis/runtime inputs,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,baseline_trial_contract,3,Baseline/control trials,source_unavailable,,,no,,{},{},{},"{""baseline_count"":""source_unavailable"",""baseline_strategy"":""source_unavailable"",""baseline_timing"":""source_unavailable""}","{""baseline_count"":"""",""baseline_strategy"":"""",""baseline_timing"":""""}",family_or_explicit_none | timing_and_anchor | allocation_rule | resolved_trial_count,metadata_audit,,,,,,no_profile,,,typed_first_class,design.protocol.include_baseline_trials | design.protocol.baseline_strategy | design.protocol.baseline_trials_exact | design.protocol.baseline_trial_percentage | design.protocol.baseline_soa_values_ms | design.protocol.baseline_custom_trial_mode | design.protocol.baseline_crosses_sequence_variants | design.protocol.trial_strips[].baseline_percentage,,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,catch_trial_contract,3,Catch/no-target trials,source_unavailable,,,no,,{},{},{},"{""catch_count"":""source_unavailable"",""catch_trial_type"":""source_unavailable""}","{""catch_count"":"""",""catch_trial_type"":""""}",family_or_explicit_none | target_role_and_expected_action | allocation_rule | resolved_trial_count,metadata_audit,,,,,,no_profile,,,typed_partial_plus_untyped_target_role,design.protocol.include_catch_trials | design.protocol.catch_trial_percentage | design.protocol.catch_trials_exact | design.protocol.catch_crosses_sequence_variants | design.protocol.include_auditory_only_trials | design.protocol.auditory_only_trial_percentage | design.protocol.auditory_only_trials_exact | design.protocol.auditory_only_crosses_sequence_variants | design.protocol.trial_strips[].catch_percentage | design.protocol.trial_strips[].elements[].kind,design.protocol.trial_strips[].metadata::<catch target role and expected action>,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,repetition_allocation,4,Repetition allocation,source_unavailable,,,no,,{},{},{},"{""repetitions_per_tactile_soa_condition"":""source_unavailable"",""total_trial_count"":""source_unavailable""}","{""repetitions_per_tactile_soa_condition"":"""",""total_trial_count"":""""}",factor_dimensions | repetitions_or_exact_counts | exceptions_or_overrides,metadata_audit,,,,,,no_profile,,,typed_first_class,design.protocol.repetitions_per_condition | design.protocol.trial_pool_repetition_defaults | design.protocol.trial_strips[].audio_tactile_percentage | design.protocol.trial_strips[].catch_percentage | design.protocol.trial_strips[].baseline_percentage,compiled trial-pool exact counts,acquire_or_open_source
doi:10.1007/s00221-005-2393-8,doi:10.1007/s00221-005-2393-8,kitagawa_2005_sound_complexity,Audiotactile interactions in near and far space,,none,block_order_contract,5,Block and order policy,source_unavailable,,,no,,{},{},{},"{""block_count"":""source_unavailable"",""blocked_or_random_order"":""source_unavailable"",""condition_intermixing"":""source_unavailable"",""total_trial_count"":""source_unavailable""}","{""block_count"":"""",""blocked_or_random_order"":"""",""condition_intermixing"":"""",""total_trial_count"":""""}",block_count | block_composition,metadata_audit,,,,,,no_profile,,,typed_first_class,design.protocol.blocks | design.protocol.block_specs[].stimulus_types | design.protocol.repeat_trial_pool_per_block | design.protocol.distribute_trial_pool_across_blocks | design.protocol.trial_randomization_strategy | design.protocol.block_order_randomization | design.protocol.max_consecutive_same_trial_type,,acquire_or_open_source
